disc_number,duration_ms,explicit,track_number,track_popularity,track_id,track_name,audio_features.danceability,audio_features.energy,audio_features.key,audio_features.loudness,audio_features.mode,audio_features.speechiness,audio_features.acousticness,audio_features.instrumentalness,audio_features.liveness,audio_features.valence,audio_features.tempo,audio_features.id,audio_features.time_signature,artist_id,artist_name,artist_popularity,album_id,album_name,album_release_date,album_total_tracks
1,250100,False,11,75,4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor’s Version),0.471,0.509,1.0,-8.796,0,0.0355,0.316,0,0.0673,0.0567,144.071,4WBEj8TeGtRPNJdOmT3WJW,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,195700,False,12,76,1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),0.582,0.788,0.0,-5.358,1,0.0445,0.0999,0,0.115,0.652,160.027,1ULabO0PEsdJekqVH6G10G,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,271000,False,13,76,0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),0.772,0.391,4.0,-8.892,1,0.0293,0.25,2.92e-05,0.0981,0.258,103.955,0lKUBmEyQfzsQHozyeXzES,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,245566,False,14,76,6HRsJu8vcnzYDN4t0570FY,Wonderland (Taylor's Version),0.464,0.705,3.0,-5.97,1,0.0434,0.00976,2.61e-05,0.209,0.385,183.892,6HRsJu8vcnzYDN4t0570FY,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,267389,False,15,76,0TyGh27YQ5LknmiDhCzJiT,You Are In Love (Taylor's Version),0.363,0.498,9.0,-9.473,1,0.0755,0.61,3.91e-06,0.112,0.477,84.68,0TyGh27YQ5LknmiDhCzJiT,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,230177,False,16,77,5M787RexsAiVYjQusM98CV,New Romantics (Taylor's Version),0.649,0.846,5.0,-5.958,1,0.0602,0.00675,4.63e-06,0.0824,0.698,121.978,5M787RexsAiVYjQusM98CV,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,180381,False,17,81,0CD7DzeCsuPJygddqlUVYa,"""Slut!"" (Taylor's Version) (From The Vault)",0.591,0.412,2.0,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875,0CD7DzeCsuPJygddqlUVYa,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,279833,False,18,81,3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),0.633,0.551,4.0,-8.297,1,0.0341,0.066,9.94e-06,0.127,0.164,109.95,3CCRVu4F91Qp2mnGjmWBrf,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,146436,False,19,82,5QUIK7ZtziW8kGWo8RqopF,Now That We Don't Talk (Taylor's Version) (From The Vault),0.8,0.501,0.0,-9.332,1,0.034,0.16,7.14e-05,0.0874,0.0831,110.013,5QUIK7ZtziW8kGWo8RqopF,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,171818,False,20,79,6M9ppdfFjR1AbpUl3Y8DcV,Suburban Legends (Taylor's Version) (From The Vault),0.701,0.625,0.0,-8.804,1,0.036,0.207,0,0.105,0.323,118.036,6M9ppdfFjR1AbpUl3Y8DcV,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,229477,False,21,84,6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),0.595,0.656,0.0,-7.343,1,0.037,0.041,0,0.122,0.191,99.994,6IG3sQ8s9nfk6TUlVzRhbN,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,199773,False,22,82,6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),0.602,0.648,2.0,-6.905,1,0.103,0.0104,0,0.217,0.174,170.091,6qAcApH8obo8eqatCKUHd9,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,212600,False,1,84,1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),0.761,0.607,7.0,-4.83,1,0.0312,0.00961,2.24e-05,0.367,0.674,116.98,1hR8BSuEqPCCZfv93zzzz9,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,231833,False,2,87,45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),0.737,0.725,0.0,-5.417,1,0.0641,0.0976,0,0.174,0.755,96.012,45wMBGri1PORPjM9PwFfrS,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,231000,False,3,88,1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),0.575,0.824,2.0,-4.823,1,0.038,0.000418,0.0214,0.0901,0.292,94.971,1hjRhYpWyqDpPahmSlUTlc,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,235800,False,4,85,045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),0.547,0.885,0.0,-5.961,1,0.0418,0.000512,9.37e-05,0.39,0.192,91.992,045ZeOHPIzhxxsm8bq5kyE,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,193289,False,5,83,6GXgd1BPD9bUpqw5AntGV5,All You Had To Do Was Stay (Taylor's Version),0.586,0.72,0.0,-5.556,1,0.035,0.000718,0,0.0949,0.481,97.057,6GXgd1BPD9bUpqw5AntGV5,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,219209,False,6,83,3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),0.632,0.807,7.0,-5.676,1,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,3pv7Q5v2dpdefwdWIvE7yH,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,207650,False,7,82,43y1WpBdnEy5TR9aZoSQL9,I Wish You Would (Taylor's Version),0.669,0.851,0.0,-6.526,1,0.0432,0.00357,1.04e-05,0.0676,0.541,118.026,43y1WpBdnEy5TR9aZoSQL9,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,211103,False,8,81,64FzgoLZ3oXu2SriZblHic,Bad Blood (Taylor's Version),0.619,0.686,7.0,-6.369,1,0.164,0.0385,0,0.307,0.364,169.943,64FzgoLZ3oXu2SriZblHic,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,220433,False,9,84,1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),0.581,0.672,8.0,-7.415,1,0.0739,0.0411,9.35e-05,0.118,0.514,140.061,1K39ty6o1sHwwlZwO6a7wK,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,247533,False,10,80,75W3SngKzTuoQ94uLf3y82,How You Get The Girl (Taylor's Version),0.754,0.682,5.0,-5.789,1,0.0565,0.00209,9.88e-06,0.0941,0.547,120.027,75W3SngKzTuoQ94uLf3y82,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,250100,False,11,80,5QVVjX0ZItqlVpEuVCM9Yg,This Love (Taylor’s Version),0.474,0.511,1.0,-8.766,0,0.0339,0.299,0,0.0673,0.0586,144.022,5QVVjX0ZItqlVpEuVCM9Yg,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,195700,False,12,80,2f0GI2ZLUtbGqFx8t2Gk6A,I Know Places (Taylor's Version),0.575,0.803,0.0,-5.393,1,0.0465,0.087,0,0.0971,0.68,160.039,2f0GI2ZLUtbGqFx8t2Gk6A,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,271000,False,13,83,2ByBBvpR9b7IynvRmnG7kG,Clean (Taylor's Version),0.771,0.386,4.0,-8.917,1,0.0297,0.276,2.01e-05,0.121,0.239,103.96,2ByBBvpR9b7IynvRmnG7kG,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,245566,False,14,80,2ve0kuaWUCt4Zx8x4bf1MR,Wonderland (Taylor's Version),0.462,0.708,3.0,-5.971,1,0.0555,0.00933,1.88e-05,0.198,0.337,183.811,2ve0kuaWUCt4Zx8x4bf1MR,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,267389,False,15,80,4UwqOWDpdeIDVQDuKT6iza,You Are In Love (Taylor's Version),0.537,0.495,9.0,-9.416,1,0.0573,0.609,2.49e-06,0.112,0.492,84.948,4UwqOWDpdeIDVQDuKT6iza,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,230177,False,16,84,2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),0.651,0.855,5.0,-5.959,1,0.0538,0.0068,9.81e-06,0.0759,0.698,121.98,2vPMoMDXxu9uX1igWZmXSG,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,180381,False,17,90,71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",0.629,0.413,7.0,-13.178,1,0.055,0.345,7.62e-05,0.0603,0.306,77.983,71BqAINEnezjQfxE4VuJfq,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,279833,False,18,88,4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),0.626,0.547,4.0,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,4NioO5R9sHEZh4cGzMHyNt,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,146436,False,19,91,5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),0.793,0.512,0.0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,5KD6AEm19QnMbfWpfoOHMl,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,171818,False,20,84,6T0sEnqjmHISIKwFETeeiP,Suburban Legends (Taylor's Version) (From The Vault),0.699,0.621,0.0,-8.739,1,0.0369,0.198,0,0.104,0.344,118.048,6T0sEnqjmHISIKwFETeeiP,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,229477,False,21,94,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),0.596,0.658,0.0,-7.346,1,0.036,0.0504,0,0.127,0.176,100.012,1Iq8oo9XkmmvCQiGOfORiz,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21
1,231706,False,1,82,7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),0.646,0.783,7.0,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,7G0gBu6nLdhFDPRLc0HdDG,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,261230,False,2,79,3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),0.588,0.758,5.0,-2.347,1,0.0305,0.0251,0,0.131,0.387,114.991,3MytWN8L7shNYzGl4tAKRp,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,294189,False,3,83,79uDOz0zuuWS7HWxzMmTa2,Back To December (Taylor's Version),0.497,0.635,2.0,-3.927,1,0.0273,0.00621,0,0.117,0.203,142.063,79uDOz0zuuWS7HWxzMmTa2,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,242473,False,4,77,5xXqyjLicvEpch72qEryFT,Speak Now (Taylor's Version),0.727,0.677,7.0,-2.871,1,0.0325,0.248,0,0.143,0.639,118.995,5xXqyjLicvEpch72qEryFT,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,405906,False,5,78,1zU8j1x3yi9xalMF96pzKp,Dear John (Taylor's Version),0.419,0.47,4.0,-5.016,1,0.0296,0.0236,0,0.163,0.133,119.294,1zU8j1x3yi9xalMF96pzKp,3.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,238693,False,6,78,30Y4CV7A6YqtQtTTo7Ue4j,Mean (Taylor's Version),0.524,0.692,4.0,-3.866,1,0.0369,0.311,0,0.192,0.621,163.874,30Y4CV7A6YqtQtTTo7Ue4j,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,267653,False,7,77,6dTA6y0C2ReQklntzZl8l3,The Story Of Us (Taylor's Version),0.515,0.781,4.0,-2.608,1,0.0535,0.00192,0,0.054,0.57,139.846,6dTA6y0C2ReQklntzZl8l3,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,292920,False,8,73,2EFZ9emtKWEglWUQGEQ3P9,Never Grow Up (Taylor's Version),0.685,0.323,2.0,-7.103,1,0.0289,0.851,0,0.198,0.569,125.058,2EFZ9emtKWEglWUQGEQ3P9,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,353253,False,9,87,3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),0.505,0.532,8.0,-3.526,1,0.0265,0.012,0,0.149,0.216,81.907,3sW3oSbzsfecv9XoUdGs7h,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,220306,False,10,80,0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),0.496,0.885,11.0,-2.969,0,0.0803,0.000886,0,0.191,0.665,145.863,0NwGC0v03ysCYINtg6ns58,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,301221,False,11,71,12nBPF4Rh4XLFJV0YLN7uj,Innocent (Taylor's Version),0.522,0.598,1.0,-5.327,0,0.0284,0.101,0,0.152,0.149,133.627,12nBPF4Rh4XLFJV0YLN7uj,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,245413,False,12,76,4tMzIAFTFdqGBQLdfbPces,Haunted (Taylor's Version),0.427,0.915,5.0,-1.909,1,0.0619,0.00667,0,0.221,0.355,162.201,4tMzIAFTFdqGBQLdfbPces,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,369120,False,13,76,59KOoHFcw5XfICnO57holu,Last Kiss (Taylor's Version),0.55,0.366,10.0,-8.46,1,0.0276,0.447,4.43e-06,0.101,0.16,79.401,59KOoHFcw5XfICnO57holu,3.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,317960,False,14,80,4hqJ4bSlYJOXb6Z4SRmzxs,Long Live (Taylor's Version),0.375,0.65,0.0,-4.031,1,0.0402,0.0122,0,0.189,0.0752,203.89,4hqJ4bSlYJOXb6Z4SRmzxs,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,235803,False,15,73,3yNJkriPzWjkkDAWHIAVUq,Ours (Taylor’s Version),0.535,0.488,0.0,-8.261,1,0.0278,0.449,0,0.111,0.348,159.813,3yNJkriPzWjkkDAWHIAVUq,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,274945,False,16,70,4evLyY5Ue1Wesc61t2KXAU,Superman (Taylor’s Version),0.533,0.742,7.0,-3.473,1,0.0303,0.0031,0,0.108,0.356,131.93,4evLyY5Ue1Wesc61t2KXAU,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,266466,False,17,76,4e3ZNTAV6PCrdYMUrUlMpQ,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),0.547,0.855,7.0,-4.7,1,0.0597,0.0164,0,0.144,0.282,131.073,4e3ZNTAV6PCrdYMUrUlMpQ,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,252385,False,18,75,0zo975x58DlXbZllWvfYhg,When Emma Falls in Love (Taylor’s Version) (From The Vault),0.474,0.763,2.0,-4.632,1,0.0505,0.159,0,0.138,0.231,78.133,0zo975x58DlXbZllWvfYhg,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,273186,False,19,84,5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),0.694,0.764,6.0,-4.893,1,0.0337,0.0586,0,0.0608,0.819,123.044,5kHMfzgLZP95O9NBy0ku4v,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,306062,False,20,76,4ABYxlb92WBIjHu7TIKmml,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),0.576,0.57,7.0,-7.925,1,0.0434,0.362,0,0.0668,0.378,147.803,4ABYxlb92WBIjHu7TIKmml,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,311765,False,21,77,4s8BIKx4Zh6ryAEz8RTlaU,Foolish One (Taylor’s Version) (From The Vault),0.671,0.588,7.0,-4.675,1,0.0299,0.617,0,0.111,0.543,96.965,4s8BIKx4Zh6ryAEz8RTlaU,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,321396,False,22,76,1HCdems7PQZRj42QDWLA0A,Timeless (Taylor’s Version) (From The Vault),0.624,0.585,3.0,-5.847,1,0.0328,0.3,0,0.0916,0.65,142.883,1HCdems7PQZRj42QDWLA0A,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,22
1,202395,True,1,70,24emu3sabKISjRkrys28jq,Lavender Haze,0.735,0.454,7.0,-10.516,0,0.0876,0.236,0.00113,0.133,0.0751,97.043,24emu3sabKISjRkrys28jq,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24
1,218270,True,2,70,6qxvy9Pe4RJIq5JBVbbwbS,Maroon,0.65,0.397,7.0,-8.237,1,0.0365,0.0609,1.4e-06,0.089,0.0382,108.055,6qxvy9Pe4RJIq5JBVbbwbS,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24
1,200690,False,3,70,5qIHFdkW6phMsTZlN2g8Lc,Anti-Hero,0.637,0.649,4.0,-6.59,1,0.0584,0.115,1.22e-06,0.147,0.497,96.935,5qIHFdkW6phMsTZlN2g8Lc,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24
1,256124,True,4,68,7GA86Uo2jYbj8vIXe2nyWd,Snow On The Beach (feat. Lana Del Rey),0.653,0.331,9.0,-13.534,1,0.039,0.705,0.0013,0.116,0.166,110.014,7GA86Uo2jYbj8vIXe2nyWd,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24
1,194206,False,5,70,6PQOU00xWNrGwCZzboriXy,"You're On Your Own, Kid",0.694,0.386,2.0,-10.312,1,0.0597,0.423,1.05e-05,0.126,0.39,120.044,6PQOU00xWNrGwCZzboriXy,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2027-05-26,24
